0.706453	2.6225
0.348937	1.6575
0.32913	1.7025
0.31395	2.0475
0.31872	2.66
0.32293	3.495
0.31747	4.06
0.30916	4.515
0.31506	9.1075
0.33713	10.2875
0.35623	9.8025
0.35674	8.8975
0.35678	8.15
0.35679	7.5175
0.35533	6.95
0.34032	6.54
0.33232	6.465
0.3323	6.7725
0.3244	7.545
0.31577	9.5325
0.31559	10.5575
0.33638	9.4175
0.35161	7.995
0.3535	6.9375
0.35478	5.755
0.35586	4.6475
0.35574	3.6175
0.35345	2.8425
0.31817	2.435
0.2987	2.275
0.3042	2.1275
0.3066	1.805
0.3104	0.9675
0.3181	0.875
0.3247	1.4275
0.3239	1.505
0.3365	1.2875
0.3535	1.0325
0.3562	0.8425
0.3558	0.655
0.354	0.5325
0.3515	0.52
0.351	0.665
0.3516	1.0525
0.3526	1.715
0.3512	2.4125
0.3457	3.2125
0.3375	4.075
0.3333	4.93
0.3373	5.6925
0.3384	6.67
0.3324	7.895
0.3176	8.17
0.306	11.6675
0.3164	10.655
0.3334	8.5225
0.3333	5.7375
0.334	3.5975
0.3348	1.9725
0.3411	1.0825
0.3502	0.5925
0.3522	0.445
0.3538	0.845
