0.557166	1.3025
0.274306	1.22
0.278488	1.02
0.27734	0.93
0.27531	0.8725
0.27264	0.9525
0.26267	1.14
0.25246	1.4175
0.24647	2.0275
0.24402	4.3575
0.25057	5.07
0.26268	3.93
0.27824	2.4525
0.28407	1.68
0.28479	1.2725
0.28415	1.0225
0.2829	0.915
0.28245	0.875
0.28251	0.8775
0.28247	0.87
0.28323	0.905
0.28468	1.0175
0.28542	1.0975
0.28575	1.16
0.27687	1.215
0.24724	1.28
0.22725	1.34
0.22708	1.525
0.231	1.2975
0.21915	0.965
0.21125	0.6675
0.21842	0.4875
0.23677	0.4725
0.25512	0.9425
0.25881	1.3775
0.25604	1.6825
0.26611	1.9825
0.27881	2.1
0.2822	2.2275
0.2844	2.405
0.2849	2.655
0.2846	2.8775
0.2842	3.21
0.2833	3.545
0.2826	3.87
0.2825	4.7575
0.2827	5.8075
0.2828	6.1475
0.2821	6.2825
0.2812	6.5575
0.2802	6.965
0.2799	6.7325
0.2808	7.1325
0.2821	6.8675
0.2834	6.445
0.2843	6.1675
0.2812	5.92
0.264	5.4425
0.2608	5.2175
0.2613	4.9075
0.2623	4.4075
0.2659	3.015
0.2721	2.265
