0.605505	1.9425
0.297763	1.79
0.289092	1.905
0.27411	1.985
0.27231	2.155
0.27865	2.4925
0.27298	3.1
0.26102	3.355
0.25227	3.3
0.25583	6.7025
0.27183	8.7075
0.29578	8.2975
0.30628	7.73
0.30628	7.1925
0.30618	6.845
0.30613	6.5925
0.30555	6.3325
0.29902	6.1925
0.29164	6.375
0.29113	6.8525
0.29197	7.7425
0.29272	9.235
0.29328	10.375
0.29356	10.3075
0.30055	9.47
0.30557	8.735
0.30622	7.8225
0.28822	6.815
0.24861	6.215
0.23559	5.8325
0.23524	5.4725
0.23526	4.89
0.23891	3.7425
0.24521	3.7325
0.25744	4.0025
0.27	4.065
0.2779	3.925
0.2962	3.4675
0.3037	2.7825
0.3051	2.2625
0.3051	1.85
0.3051	1.435
0.3045	1.0875
0.304	0.795
0.304	0.565
0.3043	0.4
0.3028	0.265
0.2982	0.23
0.2928	0.2925
0.2878	0.43
0.2849	0.475
0.2875	0.495
0.2946	0.53
0.3006	0.5625
0.3042	0.6575
0.3056	0.8025
0.3019	1.0375
0.2877	1.4775
0.2813	2.3125
0.2773	3.03
0.2809	3.43
0.2903	2.7125
0.2986	2.37
